dataset,algorithm,cache_misses,total_requests,miss_ratio,empirical_competitive_ratio,improvement_vs_mark_percent,selected_cache_size,split_mode,seed,selected_hedge_learning_rate,validation_mae
astar,Belady/OPT,140235,144256,0.9721259427684117,1.0,2.779992374085757,51,ratio,42,0.7,9128.985434904534
astar,HedgeFullDelayed(eta=0.7),143542,144256,0.9950504658385093,1.0235818447605805,0.48736524662899927,51,ratio,42,0.7,9128.985434904534
astar,MARK,144245,144256,0.9999237466725821,1.0285948586301565,0.0,51,ratio,42,0.7,9128.985434904534
bwaves,Belady/OPT,67834,71296,0.9514418761220825,1.0,4.855812387791741,512,ratio,42,1.0,159258.65731768607
bwaves,HedgeFullDelayed(eta=1.0),71296,71296,1.0,1.0510363534510718,0.0,512,ratio,42,1.0,159258.65731768607
bwaves,MARK,71296,71296,1.0,1.0510363534510718,0.0,512,ratio,42,1.0,159258.65731768607
cactusadm,Belady/OPT,21801,27744,0.7857915224913494,1.0,21.42084775086505,512,ratio,42,1.0,90560.2746558765
cactusadm,HedgeFullDelayed(eta=1.0),26054,27744,0.9390859284890427,1.1950827943672309,6.091407151095733,512,ratio,42,1.0,90560.2746558765
cactusadm,MARK,27744,27744,1.0,1.272602174212192,0.0,512,ratio,42,1.0,90560.2746558765
gems,Belady/OPT,81455,90432,0.9007320417551309,1.0,7.652627402074712,512,ratio,42,0.7,262983.7216936585
gems,HedgeFullDelayed(eta=0.7),88160,90432,0.9748761500353857,1.0823153888650174,0.051017516013831414,512,ratio,42,0.7,262983.7216936585
gems,MARK,88205,90432,0.9753737615003538,1.0828678411392794,0.0,512,ratio,42,0.7,262983.7216936585
lbm,Belady/OPT,97760,97760,1.0,1.0,0.0,512,ratio,42,0.1,646438.1636724814
lbm,HedgeFullDelayed(eta=0.1),97760,97760,1.0,1.0,0.0,512,ratio,42,0.1,646438.1636724814
lbm,MARK,97760,97760,1.0,1.0,0.0,512,ratio,42,0.1,646438.1636724814
leslie3d,Belady/OPT,71585,89504,0.7997966571326421,1.0,15.324106931629997,434,ratio,42,0.7,31174.11023088108
leslie3d,HedgeFullDelayed(eta=0.7),82611,89504,0.9229866821594566,1.1540266815673674,2.281760113555713,434,ratio,42,0.7,31174.11023088108
leslie3d,MARK,84540,89504,0.9445387915623883,1.1809736676678075,0.0,434,ratio,42,0.7,31174.11023088108
libq,Belady/OPT,71832,72480,0.9910596026490066,1.0,0.8940397350993378,163,ratio,42,0.1,0.25772133395915886
libq,HedgeFullDelayed(eta=0.1),72480,72480,1.0,1.0090210491146008,0.0,163,ratio,42,0.1,0.25772133395915886
libq,MARK,72480,72480,1.0,1.0090210491146008,0.0,163,ratio,42,0.1,0.25772133395915886
mcf,Belady/OPT,216366,370688,0.5836876294889503,1.0,32.88187960268763,512,ratio,42,0.7,657182.3138987004
mcf,HedgeFullDelayed(eta=0.7),234101,370688,0.631531098929558,1.0819675919506762,27.380368897464376,512,ratio,42,0.7,657182.3138987004
mcf,MARK,322366,370688,0.8696423946823204,1.4899106144218592,0.0,512,ratio,42,0.7,657182.3138987004
omnetpp,Belady/OPT,55123,69440,0.7938220046082949,1.0,19.55782561109084,233,ratio,42,0.3,44070.07399395622
omnetpp,HedgeFullDelayed(eta=0.3),68067,69440,0.980227534562212,1.2348203109409865,0.6683692083181321,233,ratio,42,0.3,44070.07399395622
omnetpp,MARK,68525,69440,0.9868231566820277,1.243129002412786,0.0,233,ratio,42,0.3,44070.07399395622
sphinx3,Belady/OPT,37759,41088,0.918978777258567,1.0,8.099885608586657,65,ratio,42,1.0,16159.069855090896
sphinx3,HedgeFullDelayed(eta=1.0),38950,41088,0.9479653426791277,1.031542148891655,5.2011585172925745,65,ratio,42,1.0,16159.069855090896
sphinx3,MARK,41087,41088,0.9999756619937694,1.0881379273815515,0.0,65,ratio,42,1.0,16159.069855090896
xalanc,Belady/OPT,5499,8640,0.6364583333333333,1.0,30.418828293053267,241,ratio,42,1.0,48693.025309193996
xalanc,HedgeFullDelayed(eta=1.0),6900,8640,0.7986111111111112,1.254773595199127,12.69138301910667,241,ratio,42,1.0,48693.025309193996
xalanc,MARK,7903,8640,0.914699074074074,1.4371703946172032,0.0,241,ratio,42,1.0,48693.025309193996
bzip,Belady/OPT,10048,20960,0.47938931297709925,1.0,41.42815505683474,355,ratio,42,0.7,37200.779846835954
bzip,HedgeFullDelayed(eta=0.7),16725,20960,0.7979484732824428,1.6645103503184713,2.506557854852813,355,ratio,42,0.7,37200.779846835954
bzip,MARK,17155,20960,0.8184637404580153,1.7073049363057324,0.0,355,ratio,42,0.7,37200.779846835954
milc,Belady/OPT,69089,69600,0.9926580459770115,1.0,0.7341954022988506,512,ratio,42,0.1,61475.37817081296
milc,HedgeFullDelayed(eta=0.1),69600,69600,1.0,1.0073962570018382,0.0,512,ratio,42,0.1,61475.37817081296
milc,MARK,69600,69600,1.0,1.0073962570018382,0.0,512,ratio,42,0.1,61475.37817081296
