dataset,algorithm,cache_misses,total_requests,miss_ratio,empirical_competitive_ratio,improvement_vs_mark_percent,selected_cache_size,split_mode,seed,selected_hedge_learning_rate,validation_mae
astar,Belady/OPT,140235,144256,0.9721259427684116,1.0,2.779992374085757,51,ratio,42,0.1,9128.985434904534
astar,LRU,144241,144256,0.9998960181898846,1.0285663350804009,0.0027730597247738226,51,ratio,42,0.1,9128.985434904534
astar,LFU,143874,144256,0.9973519299023957,1.0259492993903092,0.257201289472772,51,ratio,42,0.1,9128.985434904534
astar,MARK,144245,144256,0.999923746672582,1.0285948586301563,0.0,51,ratio,42,0.1,9128.985434904534
astar,"HedgeFullDelayedAllExpertSoft(eta=0.1,beta=2.0)",144241,144256,0.9998960181898846,1.0285663350804009,0.0027730597247738,51,ratio,42,0.1,9128.985434904534
bwaves,Belady/OPT,67834,71296,0.9514418761220824,1.0,4.855812387791741,512,ratio,42,0.1,159258.65731768607
bwaves,LRU,71296,71296,1.0,1.0510363534510718,0.0,512,ratio,42,0.1,159258.65731768607
bwaves,LFU,71296,71296,1.0,1.0510363534510718,0.0,512,ratio,42,0.1,159258.65731768607
bwaves,MARK,71296,71296,1.0,1.0510363534510718,0.0,512,ratio,42,0.1,159258.65731768607
bwaves,"HedgeFullDelayedAllExpertSoft(eta=0.1,beta=2.0)",71296,71296,1.0,1.0510363534510718,0.0,512,ratio,42,0.1,159258.65731768607
cactusadm,Belady/OPT,21801,27744,0.7857915224913494,1.0,21.42084775086505,512,ratio,42,1.0,90560.2746558765
cactusadm,LRU,27744,27744,1.0,1.272602174212192,0.0,512,ratio,42,1.0,90560.2746558765
cactusadm,LFU,27744,27744,1.0,1.272602174212192,0.0,512,ratio,42,1.0,90560.2746558765
cactusadm,MARK,27744,27744,1.0,1.272602174212192,0.0,512,ratio,42,1.0,90560.2746558765
cactusadm,"HedgeFullDelayedAllExpertSoft(eta=1.0,beta=2.0)",25780,27744,0.9292099192618224,1.1825145635521306,7.0790080738177625,512,ratio,42,1.0,90560.2746558765
gems,Belady/OPT,81455,90432,0.9007320417551308,1.0,7.652627402074712,512,ratio,42,1.0,262983.7216936585
gems,LRU,88132,90432,0.97456652512385,1.0819716407832545,0.08276174820021541,512,ratio,42,1.0,262983.7216936585
gems,LFU,89863,90432,0.9937079794762915,1.1032226382665276,-1.8797120344651665,512,ratio,42,1.0,262983.7216936585
